,품종,성별,무게(Kg),상태,나이,성격,색,중성화유무,건강,칩등록여부,보유물건
240,진도견,암컷,15,입양,25,사람을 잘 따름,흰색계열,미상,목에 목줄 자국 있음,미상,무
241,잭 러셀 테리어,암컷,8,입양,61,사람을 잘 따름,혼합색계열,아니오,미상,미상,유
242,믹스견,암컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
243,믹스견,수컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
244,믹스견,수컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
245,믹스견,수컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
246,믹스견,수컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
247,믹스견,암컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
248,믹스견,암컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
249,믹스견,수컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
250,믹스견,수컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
251,믹스견,수컷,3,입양,1,중립,흰색계열,아니오,미상,미상,무
252,믹스견,수컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
253,믹스견,수컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
254,믹스견,암컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
255,믹스견,수컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
256,믹스견,수컷,3,미입양,1,중립,흰색계열,아니오,미상,미상,무
257,말티즈,암컷,5,입양,1,사람을 잘 따름,흰색계열,미상,미상,미상,무
258,믹스견,암컷,5,미입양,1,사람을 잘 따름,흰색계열,아니오,미상,미상,유
259,믹스견,암컷,3,입양,2,중립,회색계열,아니오,미상,미상,무
260,믹스견,수컷,3,입양,12,중립,혼합색계열,아니오,미상,미상,무
261,믹스견,암컷,3,입양,2,중립,혼합색계열,아니오,미상,미상,무
262,믹스견,수컷,3,입양,2,중립,흰색계열,아니오,미상,미상,무
263,요크셔 테리어,암컷,3,입양,108,사람을 잘 따름,혼합색계열,미상,미상,미상,무
264,비숑 프리제,수컷,3.5,입양,96,중립,흰색계열,예,미상,미상,무
265,믹스견,암컷,3.5,미입양,12,중립,혼합색계열,아니오,미상,미상,무
266,믹스견,암컷,17,미입양,72,사람을 잘 따름,흰색계열,미상,눈물자국 있음,미상,무
267,포메라니안,암컷,2,입양,48,중립,검정색계열,미상,미상,미상,무
268,포메라니안,수컷,4,입양,48,사람을 잘 따름,흰색계열,아니오,미상,미상,무
269,믹스견,수컷,2,입양,12,사람을 잘 따름,흰색계열,아니오,미상,미상,무
270,믹스견,암컷,2,미입양,2,사람을 잘 따름,흰색계열,아니오,미상,미상,무
271,믹스견,수컷,2,미입양,2,사람을 잘 따름,흰색계열,아니오,미상,미상,무
272,믹스견,암컷,2,미입양,2,사람을 잘 따름,흰색계열,아니오,미상,미상,무
273,믹스견,수컷,2,미입양,2,사람을 잘 따름,흰색계열,아니오,미상,미상,무
274,믹스견,수컷,2,미입양,2,사람을 잘 따름,흰색계열,아니오,미상,미상,무
275,믹스견,암컷,2,미입양,2,사람을 잘 따름,흰색계열,아니오,미상,미상,무
276,믹스견,수컷,15,미입양,36,중립,흰색계열,미상,미상,미상,무
277,믹스견,수컷,2.5,입양,2,사람을 잘 따름,흰색계열,아니오,미상,미상,무
278,믹스견,암컷,2.5,입양,2,사람을 잘 따름,흰색계열,아니오,미상,미상,무
279,믹스견,암컷,12,미입양,156,사람을 잘 따름,흰색계열,미상,미상,미상,무
280,믹스견,수컷,16,미입양,36,중립,갈색계열,아니오,미상,미상,무
281,믹스견,수컷,25,미입양,48,사람을 잘 따름,흰색계열,아니오,미상,미상,무
282,믹스견,암컷,20,미입양,60,중립,흰색계열,미상,"마른 편, 체구가 큼",미상,무
283,믹스견,암컷,20,미입양,48,사람을 잘 따름,흰색계열,아니오,눈물자국 있음,미상,무
284,믹스견,암컷,15,입양,36,사람을 잘 따름,검정색계열,미상,좌측 완관절 골절,미상,무
285,믹스견,암컷,17,미입양,48,중립,혼합색계열,아니오,미상,미상,무
286,믹스견,수컷,12,미입양,12,사람을 잘 따름,흰색계열,아니오,미상,미상,무
287,믹스견,암컷,5,미입양,12,사람을 경계함,흰색계열,아니오,미상,미상,무
288,믹스견,수컷,4,미입양,2,사람을 경계함,흰색계열,아니오,미상,미상,무
289,그레이트 피레니즈,암컷,40,입양,36,사람을 잘 따름,흰색계열,미상,미상,미상,무
290,믹스견,암컷,9,미입양,60,사람을 잘 따름,검정색계열,미상,미상,미상,무
291,믹스견,암컷,5,미입양,12,중립,황색계열,아니오,미상,미상,무
292,말티즈,암컷,5,입양,48,사람을 잘 따름,흰색계열,아니오,털 관리 잘 되어 있음,미상,무
293,믹스견,수컷,3,입양,2,중립,흰색계열,아니오,체구가 작음,미상,무
294,믹스견,암컷,2.5,입양,2,중립,혼합색계열,아니오,미상,미상,무
295,진도견,수컷,18,미입양,36,사람을 경계함,흰색계열,미상,미상,미상,무
296,믹스견,암컷,2.5,미입양,12,중립,황색계열,아니오,미상,미상,무
297,믹스견,수컷,3,미입양,12,중립,흰색계열,아니오,미상,미상,무
